id,label
0,and heard him deliver his farewell address from the rear platform of his private car i spent wednesday night in massillon and next morning returned to canton to take some interior photographs of mc kinley's home
1,to crucify jesus of nazareth and to free barabbas but in choosing the rebel barabbas
2,the other nods understanding sweeps the dust slate level with his hand and with his forefinger inscribes similar characters they are talking they cannot speak to each other but they can write
3,and it is just in such an unlikely place as this that a man's best chance of fortune comes to him sometimes as the servant sat there there came two ravens flying and lit upon the cross beam overhead
4,villefort here extended his hand toward a large crucifix placed opposite to his desk when they are discovered i swear to you by all i hold most sacred
5,hjalmar knows and it's no business of yours
6,but i saw very little of dick he had received a commission from one of the illustrated papers to make a series of sketches of scenery in scotland
7,or gave us all more work in the course of the expedition than the stiff outer covering which we had to have but we solved the problem at last i applied to one of the leading makers of ski boots in christiania and explained the difficulty to him
8,as she lay dying he sat up whole nights with her in a great chair would suffer nobody to give her medicine or even cook her food but himself and read novels to her in her intervals of ease
9,where in that country they had seen big concentration camps and
10,chapter eighteen how emancipation came to pass when abraham lincoln was a small boy he began to show the keenest sympathy for the helpless and oppressed the only time he betrayed anger as a child
11,helen rose and hastened to her brother with a heart of lead in her body she started when she saw him some change had passed on him since the morning
12,he asked pardon me my friend if i disturb you said the man with the red handkerchief but i want to speak to you you have no right to beg at night
13,sweated a little and was much refreshed the apprehensions of its being the infection went also quite away with my illness and i went about my business as usual
14,were it not that we owe to analysis our clearest knowledge of the permanent sequences in nature the real connexions between things not dependent on our will and feelings natural laws by virtue of which in many cases
15,the fly catcher the walking fern et cetera i hardly know how the little bells i have been describing would be regarded by seekers of this class but every true flower lover who comes to consider these utah lilies will surely be well rewarded however long the way
16,two aneroids with altitude scale to fifteen thousand feet and two hypsometers the hypsometer is only an instrument for determining the boiling point which gives one the height above the sea the method is both simple and reliable
17,and when the youth returned to the king and told how rudely he had been treated sir kay said i will go myself and when he greeted perceval and got no answer he spoke to him rudely and angrily
18,stopped and got out of his trap a french cook accused of being a spy was being flogged the flogging was only just over and the executioner was releasing from the flogging bench a stout man with red whiskers in blue stockings and a green jacket
19,the council pensionary first set to work to have the treaty from which the exclusion article had been cut out ratified rapidly by the states general
20,take it to rothschild's or lafitte's and they will take it off your hands at once
21,when he came to himself natasha that same living natasha whom of all people he most longed to love with this new pure divine love that had been revealed to him was kneeling before him
22,their policy and even their religion is it else to be conceived corporal continued my uncle toby rising up in his sentry box as he began to warm in this part of his discourse how marlborough could have marched his army from the banks of the maes to belburg from belburg to kerpenord
23,she joyed to see the latter led back at the end of a lazo held in the hand of her husband and refused to interfere when a band of regulators called hastily together
24,porthos clawed hold of some peas which were twined round poles stuck into the ground and ate or rather browsed upon them shells and all
25,and that there was no congregational church in rosville she went to boston that friday afternoon anxious to get safely home with veronica we parted with many a kiss and shake of the hand and last words
26,and something more she had seen that it was a man but she had dropped so quickly that she did not see the big black horse
27,vitiges retired to ravenna and belisarius quickly followed and made such an assault on the city that it was compelled to surrender the ostrogoth army was captured
28,and fearful the conversation would cease he inquired with an appearance of great interest you think it was age and debility that removed the old gentleman at last and the troublesome times trouble is a heavy pull down to a sick bed
29,but juliet only laughed to herself with pleasure at the brilliancy of the day she felt that the weather was playing up to the occasion as became this important morning of her life for that it was important she did not doubt
30,the importance of recognizing the special sense in which the word unclean is used in this connection was clearly pointed out by robertson smith in the case of the semites
31,of head and of the ear the right ear it is parfois agony absolutely and now it is here and she winced and moaned with her eyes closed and her hand pressed to the organ affected
32,replied thenardier since ponine has thrown the stone through the window it indicates that the house is not watched on that side the mask with the ventriloquist's voice deposited his huge key on the floor
33,and ben looked anxiously at bab who felt her chubby face all over and examined her dingy hands with a solemn air asking eagerly will it break out on me fore i get to the circus
34,in the hebrides gaizdorra captain
35,but all the subtle variations of prejudices and beliefs preferences and dislikes family life and social surroundings ambitions and prospects memories and fancies
36,you believe then that god will forgive my sins cried the dying man renewing his hope as he heard from the lips of the monk such unexpected words your sins and also your crimes god will forgive them all replied savonarola
37,then the general sent me back the letter by an aide de camp informing me that if i were found the next day within the circumscription of his command he would have me arrested
38,when he had first come out of the city to live on the land
39,would have been too small to distress the most timid while to young and high spirited people with courage to spare for ordinary trials
40,you're missus mary nolan said whittaker
41,what business had you to pull me down out of the water and throw me to the bottom of the air i never did you any harm pardon me i did not mean to hurt you i don't believe you have any brains and that is a worse loss than your wretched gravity
42,then what amusing innuendoes of the milby gentlemen over their wine would have been entirely frustrated and reduced to nought if you had told them that the countess had really been guilty of no misdemeanours which demanded her exclusion from strictly respectable society
43,and to be waiting for them in their everlasting home but monica's happiness was to be short lived for it seemed that patricius would soon rejoin his mother
44,by prolonging the operation a whole community becomes more or less hypnotized in all such cases however unusual excitement is commonly followed by unusual lethargy
45,to inquire after the countess's health the footman looked pale and grave when i asked after her ladyship i much regret to inform you sir that my mistress is dead he said
46,that i loved him better than all the world besides it is still the same i still love him better than all the world how then can i give you any hope
47,he attached himself to each individual of the ship he had no favorites but was hail fellow well met with all he developed all the playful qualities of a puppy and reasoned out a number of problems in his own way
48,ought to accomplish wonders for humanity in a short time and henry maxwell going over to the scene of the new work one day after a noon hour with the shop men was amazed to see how much had been done outwardly
49,knighthood and privilege from him received though with the populace unites himself to day the man who binds it with a border already were gualterotti and importuni and still more quiet would the borgo be if with new neighbours it remained unfed
50,so unexpected was the sound that they could only stare at each other inquiringly without stirring in a moment it came again a thumping of the old knocker on the front inner door
51,he made his whereabouts known by tapping a message on a steam pipe
52,he would have borne on without legs at all rather than remain under the enemy's gaze the enemy loftily continued their way their heads in the air and scorning further notice all save young lord vane he hovered round the ranks of the unwashed
53,will help to celebrate it i have no doubt with an open air play tank drama or what not at any rate we have every hope that he will empty the pond as speedily as possible
54,the match with france and the articles in favor of catholics which were suspected to be in the treaty were likewise causes of disgust to this whole party
55,perhaps he's held will up to tell him about something you know uncle felix thinks heaps of our chum yes and of all the rest of us in the bargain there he comes exclaimed bluff and say he seems to be in a terrible hurry added jerry
56,you he said again and walked towards her he held out his hand and she gave him the wallet without a word sit down he said kindly he thought she was going to faint i hope i didn't hurt you i hadn't the slightest idea
57,the very next morning she put on all her finery and thought that now at least that disagreeable parrot could find no fault with her appearance and she listened eagerly when she heard the starling say
58,he had the reputation of not sticking at anything and it was known that he had plundered a police post simply out of bravado besides this he made verses and songs which gave him great authority
59,i was standing near the window and i knew that once in the street i might gain the plaza and safety before the creature could overtake me at least there was a chance for safety in flight
60,him whom thou hast sought so long welcome unto thee chieftain said arthur and hereupon there came the queen and her handmaidens and perceval saluted them and they were rejoiced to see him and bade him welcome
61,to my place and i dropped it down the well they found it when they let the bucket down but i wasn't his accomplice at all twas only connivance with me when he had spoken of the chimney and the well
62,and the bitterest name his enemies called him worse in their minds than fool clown imbecile or gorilla was a black republican
63,became great and many people followed the example of umegae thereby hoping to emulate her luck
